[epoch: 861, batch:  1912] loss: 5.078, sam-loss: 0.001, bandMse: 1.254, val-RMSE: 38.582, val-SAM: 1.631, val-PSNR: 38.616, AVG-Time: 4.611, LR: 0.000300
[epoch: 862, batch:  1912] loss: 5.293, sam-loss: 0.000, bandMse: 2.643, val-RMSE: 32.443, val-SAM: 1.670, val-PSNR: 39.720, AVG-Time: 4.599, LR: 0.000300
[epoch: 863, batch:  1912] loss: 5.628, sam-loss: 0.000, bandMse: 1.200, val-RMSE: 38.274, val-SAM: 1.850, val-PSNR: 38.191, AVG-Time: 5.510, LR: 0.000300
[epoch: 864, batch:  1912] loss: 4.919, sam-loss: 0.000, bandMse: 1.482, val-RMSE: 36.108, val-SAM: 1.677, val-PSNR: 39.066, AVG-Time: 6.240, LR: 0.000300
[epoch: 865, batch:  1912] loss: 4.901, sam-loss: 0.000, bandMse: 1.658, val-RMSE: 33.223, val-SAM: 1.567, val-PSNR: 39.873, AVG-Time: 5.914, LR: 0.000300
[epoch: 866, batch:  1912] loss: 5.638, sam-loss: 0.000, bandMse: 1.755, val-RMSE: 39.115, val-SAM: 1.702, val-PSNR: 38.774, AVG-Time: 5.452, LR: 0.000300
[epoch: 867, batch:  1912] loss: 5.125, sam-loss: 0.000, bandMse: 1.763, val-RMSE: 49.813, val-SAM: 2.298, val-PSNR: 37.777, AVG-Time: 5.334, LR: 0.000300
[epoch: 868, batch:  1912] loss: 4.863, sam-loss: 0.000, bandMse: 1.532, val-RMSE: 36.100, val-SAM: 1.761, val-PSNR: 39.369, AVG-Time: 5.230, LR: 0.000300
[epoch: 869, batch:  1912] loss: 5.011, sam-loss: 0.000, bandMse: 1.671, val-RMSE: 45.533, val-SAM: 1.756, val-PSNR: 37.953, AVG-Time: 5.056, LR: 0.000300
[epoch: 870, batch:  1912] loss: 4.913, sam-loss: 0.000, bandMse: 1.279, val-RMSE: 32.246, val-SAM: 1.682, val-PSNR: 39.517, AVG-Time: 5.396, LR: 0.000300
[epoch: 871, batch:  1912] loss: 5.028, sam-loss: 0.000, bandMse: 1.259, val-RMSE: 52.308, val-SAM: 2.403, val-PSNR: 36.291, AVG-Time: 5.137, LR: 0.000300
[epoch: 872, batch:  1912] loss: 4.883, sam-loss: 0.000, bandMse: 2.230, val-RMSE: 42.306, val-SAM: 1.715, val-PSNR: 38.248, AVG-Time: 5.493, LR: 0.000300
[epoch: 873, batch:  1912] loss: 4.988, sam-loss: 0.000, bandMse: 2.090, val-RMSE: 33.415, val-SAM: 1.698, val-PSNR: 38.995, AVG-Time: 5.630, LR: 0.000300
[epoch: 874, batch:  1912] loss: 5.034, sam-loss: 0.000, bandMse: 2.297, val-RMSE: 38.670, val-SAM: 1.754, val-PSNR: 39.446, AVG-Time: 5.148, LR: 0.000300
[epoch: 875, batch:  1912] loss: 5.084, sam-loss: 0.000, bandMse: 3.167, val-RMSE: 32.699, val-SAM: 1.442, val-PSNR: 40.168, AVG-Time: 5.028, LR: 0.000300
[epoch: 876, batch:  1912] loss: 4.686, sam-loss: 0.000, bandMse: 1.852, val-RMSE: 33.434, val-SAM: 1.685, val-PSNR: 39.378, AVG-Time: 4.802, LR: 0.000300
[epoch: 877, batch:  1912] loss: 4.974, sam-loss: 0.000, bandMse: 1.895, val-RMSE: 32.756, val-SAM: 1.715, val-PSNR: 39.580, AVG-Time: 5.179, LR: 0.000300
[epoch: 878, batch:  1912] loss: 5.487, sam-loss: 0.000, bandMse: 2.114, val-RMSE: 29.860, val-SAM: 1.497, val-PSNR: 40.298, AVG-Time: 4.960, LR: 0.000300
[epoch: 879, batch:  1912] loss: 4.649, sam-loss: 0.000, bandMse: 1.373, val-RMSE: 37.056, val-SAM: 1.800, val-PSNR: 38.576, AVG-Time: 5.119, LR: 0.000300
[epoch: 880, batch:  1912] loss: 4.690, sam-loss: 0.001, bandMse: 1.841, val-RMSE: 34.086, val-SAM: 1.656, val-PSNR: 39.412, AVG-Time: 4.656, LR: 0.000300
[epoch: 881, batch:  1912] loss: 4.908, sam-loss: 0.000, bandMse: 1.298, val-RMSE: 36.089, val-SAM: 1.774, val-PSNR: 39.128, AVG-Time: 4.805, LR: 0.000300
[epoch: 882, batch:  1912] loss: 4.649, sam-loss: 0.000, bandMse: 1.350, val-RMSE: 29.050, val-SAM: 1.546, val-PSNR: 40.396, AVG-Time: 4.531, LR: 0.000300
[epoch: 883, batch:  1912] loss: 4.733, sam-loss: 0.000, bandMse: 1.163, val-RMSE: 41.992, val-SAM: 1.965, val-PSNR: 38.860, AVG-Time: 4.501, LR: 0.000300
[epoch: 884, batch:  1912] loss: 4.862, sam-loss: 0.000, bandMse: 1.994, val-RMSE: 41.156, val-SAM: 1.806, val-PSNR: 38.253, AVG-Time: 5.336, LR: 0.000300
[epoch: 885, batch:  1912] loss: 4.788, sam-loss: 0.000, bandMse: 4.879, val-RMSE: 29.048, val-SAM: 1.462, val-PSNR: 40.402, AVG-Time: 4.600, LR: 0.000300
[epoch: 886, batch:  1912] loss: 4.433, sam-loss: 0.000, bandMse: 2.323, val-RMSE: 27.128, val-SAM: 1.452, val-PSNR: 40.526, AVG-Time: 5.848, LR: 0.000300
[epoch: 887, batch:  1912] loss: 4.716, sam-loss: 0.000, bandMse: 3.708, val-RMSE: 39.085, val-SAM: 1.955, val-PSNR: 38.362, AVG-Time: 4.727, LR: 0.000300
[epoch: 888, batch:  1912] loss: 4.757, sam-loss: 0.000, bandMse: 2.056, val-RMSE: 31.623, val-SAM: 1.586, val-PSNR: 40.285, AVG-Time: 6.541, LR: 0.000300
[epoch: 889, batch:  1912] loss: 4.921, sam-loss: 0.000, bandMse: 1.161, val-RMSE: 27.927, val-SAM: 1.422, val-PSNR: 40.953, AVG-Time: 4.576, LR: 0.000300
[epoch: 890, batch:  1912] loss: 4.416, sam-loss: 0.000, bandMse: 1.773, val-RMSE: 31.005, val-SAM: 1.640, val-PSNR: 39.502, AVG-Time: 5.287, LR: 0.000300
[epoch: 891, batch:  1912] loss: 4.880, sam-loss: 0.000, bandMse: 3.760, val-RMSE: 34.093, val-SAM: 1.767, val-PSNR: 39.366, AVG-Time: 4.586, LR: 0.000300
[epoch: 892, batch:  1912] loss: 4.840, sam-loss: 0.000, bandMse: 1.519, val-RMSE: 28.099, val-SAM: 1.434, val-PSNR: 40.906, AVG-Time: 4.691, LR: 0.000300
[epoch: 893, batch:  1912] loss: 4.592, sam-loss: 0.000, bandMse: 1.828, val-RMSE: 33.145, val-SAM: 1.579, val-PSNR: 40.149, AVG-Time: 4.610, LR: 0.000300
[epoch: 894, batch:  1912] loss: 4.518, sam-loss: 0.001, bandMse: 1.659, val-RMSE: 29.410, val-SAM: 1.576, val-PSNR: 39.963, AVG-Time: 4.552, LR: 0.000300
[epoch: 895, batch:  1912] loss: 4.446, sam-loss: 0.000, bandMse: 2.504, val-RMSE: 32.684, val-SAM: 1.496, val-PSNR: 40.411, AVG-Time: 4.631, LR: 0.000300
[epoch: 896, batch:  1912] loss: 4.584, sam-loss: 0.000, bandMse: 2.340, val-RMSE: 31.902, val-SAM: 1.532, val-PSNR: 40.552, AVG-Time: 4.626, LR: 0.000300
[epoch: 897, batch:  1912] loss: 4.558, sam-loss: 0.000, bandMse: 1.723, val-RMSE: 25.189, val-SAM: 1.307, val-PSNR: 41.697, AVG-Time: 4.513, LR: 0.000300
[epoch: 898, batch:  1912] loss: 4.658, sam-loss: 0.000, bandMse: 1.575, val-RMSE: 33.029, val-SAM: 1.646, val-PSNR: 39.811, AVG-Time: 4.615, LR: 0.000300
[epoch: 899, batch:  1912] loss: 4.363, sam-loss: 0.000, bandMse: 1.720, val-RMSE: 30.084, val-SAM: 1.572, val-PSNR: 40.592, AVG-Time: 4.504, LR: 0.000300
[epoch: 900, batch:  1912] loss: 4.674, sam-loss: 0.000, bandMse: 1.145, val-RMSE: 35.121, val-SAM: 1.598, val-PSNR: 39.148, AVG-Time: 5.069, LR: 0.000300
[epoch: 901, batch:  1912] loss: 4.417, sam-loss: 0.000, bandMse: 1.736, val-RMSE: 34.516, val-SAM: 1.719, val-PSNR: 39.344, AVG-Time: 5.178, LR: 0.000300
